SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,NUM_FRENTES,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
RET,CF,DI,20,7501022015858,7Up Citrus 600 Ml NR,Refrescos,1,66.0,7.8
RET,CF,DI,20,21136110180,Topo Chico Twist Limon 600ml NR,Refrescos,1,74.3,7.6
RET,CF,DI,20,21136016185,Topo Chico Twist Toronja 600ml NR NR,Refrescos,1,82.4,7.6
RET,CF,DI,20,7501055301256,Refresco Coca Cola 710 ml botella no retornable:regular:cola,Refrescos,1,90.5,7.5
RET,CF,DI,20,7500326103476,Barrilitos Manzana 750ml NR,Refrescos,1,98.5,7.2
RET,CF,DI,20,7501055379521,DEL VALLE FIZZ 600ML LIMON,Refrescos,1,106.2,7.2
RET,CF,DI,21,7500326103469,Barrilitos Ponche 750ml NR,Refrescos,6,0.0,43.2
RET,CF,DI,21,7501055379484,DEL VALLE FIZZ 600ML NARANJA,Refrescos,1,43.7,7.2
RET,CF,DI,21,7500326103452,Barrilitos Pi?a 750ml NR,Refrescos,1,51.4,7.2
RET,CF,DI,21,7500326103445,Barrilitos Durazno 750ml NR,Refrescos,1,59.1,7.2
RET,CF,DI,21,7501055305629,Sprite Lima limon 600ml NR,Refrescos,1,66.8,7.1
RET,CF,DI,21,7501055305230,Fanta Fresa 600ml NR,Refrescos,1,74.4,7.1
RET,CF,DI,21,7501055304653,Delaware Punch Uva 600ml NR,Refrescos,1,82.0,7.1
RET,CF,DI,21,7501055303786,Fresca Toronja 600ml NR,Refrescos,1,89.6,7.1
RET,CF,DI,21,7501055303779,Fanta Naranja 600ml NR,Refrescos,1,97.2,7.1
RET,CF,DI,21,7501055366316,Sprite Lima limon SA 600ml NR,Refrescos,1,104.8,7.1
RET,CF,DI,22,7501055386321,Cherry Coke 600ml PNR,Refrescos,7,0.0,49.7
RET,CF,DI,22,7501055339983,Sidral Mundet Manzana 600ml NR,Refrescos,1,50.2,7.1
RET,CF,DI,22,7501277412433,Agua purificada Taxco 600 ml bote,Refrescos,1,57.8,7.1
RET,CF,DI,22,7501055376674,AMEYAL FREKIW BOT 600ML 6PK,Refrescos,1,65.4,7.1
RET,CF,DI,22,7501055359769,Mundet Sangria 600ml NR,Refrescos,1,73.0,7.1
RET,CF,DI,22,7501055327959,Escuis Fresa 600ml NR,Refrescos,1,80.6,7.1
RET,CF,DI,22,7501055379927,FRESCA FUSION 600ML NR,Refrescos,1,88.2,7.1
RET,CF,DI,22,7501055328031,Escuis Manzana 600ml NR,Refrescos,1,95.8,7.1
RET,CF,DI,22,7501055308248,Agua mineral Ciel 600 ml botella No Retornable,Refrescos,1,103.4,7.1
RET,CF,DI,22,7501055328154,Escuis Hierro 600ml NR,Refrescos,1,111.0,7.1
RET,CF,DI,23,7501055329915,Yoli Limon 600ml NR,Refrescos,7,0.0,49.7
RET,CF,DI,23,7501055328857,REFRESCO VICTORIA SABOR FRESA KIWI 600ML PET NR 6PK,Refrescos,1,50.2,7.1
RET,CF,DI,23,7501055328826,Victoria Manzana 600ml NR,Refrescos,1,57.8,7.1
RET,CF,DI,23,7501055328796,Victoria Grosella 600ml NR,Refrescos,1,65.4,7.1
RET,CF,DI,23,7501055308330,Senzao Guarana 600ml NR,Refrescos,1,73.0,7.1
RET,CF,DI,23,21136415476,Topo Chico Sangria light 600ml NR,Refrescos,1,80.6,7.0
RET,CF,DI,23,7501055316670,Refresco Coca Cola 600 ml botella no retornable:light:Sin cafeina,Refrescos,1,88.1,7.0
RET,CF,DI,23,7501055314096,Joya Ponche 600ml NR,Refrescos,1,95.6,7.0
RET,CF,DI,23,7503001182025,ELITE FRESA 600 ML,Refrescos,1,103.1,7.0
